"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 22, 2010","230.40","227.00","231.00","225.60","21.21K","-0.26%"
"Sep 21, 2010","231.00","231.00","231.00","227.00","7.59K","1.99%"
"Sep 20, 2010","226.50","225.00","228.00","225.00","33.63K","0.64%"
"Sep 17, 2010","225.05","228.55","230.00","225.00","135.36K","-1.49%"
"Sep 16, 2010","228.45","233.50","233.50","228.45","35.80K","-0.67%"
"Sep 15, 2010","230.00","229.05","234.40","228.00","21.98K","0.88%"
"Sep 14, 2010","228.00","235.00","235.00","228.00","18.52K","-4.36%"
"Sep 13, 2010","238.40","237.00","238.40","226.05","6.04K","1.45%"
"Sep 09, 2010","235.00","233.00","235.95","233.00","13.50K","-0.42%"
"Sep 08, 2010","236.00","237.50","237.50","236.00","3.58K","0.60%"
"Sep 07, 2010","234.60","233.00","235.00","233.00","19.26K","-1.01%"
"Sep 06, 2010","237.00","233.10","237.00","233.10","5.25K","0.85%"
"Sep 03, 2010","235.00","234.80","235.90","232.25","11.03K","1.29%"
"Sep 02, 2010","232.00","234.80","234.80","231.30","10.29K","-0.85%"
"Sep 01, 2010","234.00","235.00","235.00","231.95","4.31K","-1.27%"
"Aug 31, 2010","237.00","234.20","237.50","233.00","21.18K","0.64%"
"Aug 30, 2010","235.50","234.10","240.00","234.10","17.44K","-1.46%"
"Aug 27, 2010","239.00","232.10","239.00","232.10","27.41K","-0.42%"
"Aug 26, 2010","240.00","233.10","240.00","233.10","48.00K","0.84%"
"Aug 25, 2010","238.00","231.05","238.00","231.05","9.29K","0.21%"
"Aug 24, 2010","237.50","230.00","239.00","230.00","18.74K","1.06%"
"Aug 23, 2010","235.00","222.25","236.00","222.25","49.46K","3.07%"
"Aug 19, 2010","228.00","224.00","228.00","224.00","14.62K","1.79%"
"Aug 18, 2010","224.00","224.50","224.50","220.50","1.40K","-0.36%"
"Aug 17, 2010","224.80","220.10","226.00","220.10","5.66K","0.81%"
"Aug 16, 2010","223.00","222.00","223.00","219.00","0.13K","1.36%"
"Aug 13, 2010","220.00","220.15","223.00","220.00","13.66K","-2.00%"
"Aug 12, 2010","224.50","225.00","228.00","224.50","1.99K","-0.27%"
"Aug 11, 2010","225.10","227.00","227.00","225.10","8.37K","-0.84%"
"Aug 10, 2010","227.00","227.00","229.00","227.00","5.68K","-0.87%"
"Aug 09, 2010","229.00","229.00","229.00","226.35","1.52K","-0.43%"
"Aug 06, 2010","230.00","226.15","230.00","226.15","2.72K","0.44%"
"Aug 05, 2010","229.00","229.50","230.00","226.50","1.10K","0.44%"
"Aug 04, 2010","228.00","230.30","230.40","228.00","1.90K","0.93%"
"Aug 03, 2010","225.90","228.80","228.85","225.80","4.88K","-1.31%"
"Aug 02, 2010","228.90","225.30","228.90","225.30","0.89K","1.69%"
"Jul 29, 2010","225.10","230.00","230.90","225.10","9.14K","-2.11%"
"Jul 28, 2010","229.95","220.40","230.00","220.40","25.13K","4.38%"
"Jul 27, 2010","220.30","219.30","221.00","219.30","0.30K","-0.32%"
"Jul 26, 2010","221.00","221.00","221.00","220.00","2.24K","0.39%"
"Jul 23, 2010","220.15","221.00","221.45","220.15","3.00K","-0.59%"
"Jul 22, 2010","221.45","221.00","221.65","220.00","7.70K","-0.16%"
"Jul 21, 2010","221.80","222.00","222.00","220.50","1.13K","0.36%"
"Jul 20, 2010","221.00","222.00","222.00","220.40","5.62K","0.34%"
"Jul 19, 2010","220.25","220.00","226.50","220.00","27.35K","-1.67%"
"Jul 16, 2010","224.00","222.50","224.00","222.50","5.67K","0.00%"
"Jul 15, 2010","224.00","226.00","226.00","223.50","4.17K","-0.02%"
"Jul 14, 2010","224.05","223.30","226.00","223.30","8.11K","-1.26%"
"Jul 13, 2010","226.90","222.50","227.00","222.50","46.34K","0.87%"
"Jul 12, 2010","224.95","225.00","225.00","221.05","4.99K","0.42%"
"Jul 09, 2010","224.00","220.00","224.00","220.00","2.14K","-0.44%"
"Jul 08, 2010","225.00","222.00","225.00","221.00","8.54K","2.97%"
"Jul 07, 2010","218.50","218.50","221.00","218.50","4.15K","-1.13%"
"Jul 06, 2010","221.00","218.05","221.00","218.05","0.13K","1.28%"
"Jul 05, 2010","218.20","225.00","225.00","218.20","15.45K","-2.37%"
"Jul 02, 2010","223.50","217.55","224.60","217.55","6.91K","3.00%"
"Jul 01, 2010","217.00","220.00","225.00","216.00","25.56K","0.00%"
"Jun 30, 2010","217.00","223.00","229.00","217.00","35.82K","-4.59%"
"Jun 29, 2010","227.45","226.00","227.45","225.00","1.47K","-0.02%"
"Jun 28, 2010","227.50","228.00","229.00","227.50","0.24K","0.00%"
"Jun 25, 2010","227.50","227.50","228.00","227.30","6.59K","0.00%"
"Jun 24, 2010","227.50","229.50","229.50","227.10","0.62K","-0.04%"
"Jun 23, 2010","227.60","227.00","229.40","226.70","35.69K","0.46%"
"Jun 22, 2010","226.55","229.50","229.50","225.05","6.37K","0.11%"
